srn,title,original_language,adult,release_date,popularity,vote_average,vote_count
0,The Shawshank Redemption,en,False,1994-09-23,27.0754,8.712,28525
1,The Godfather,en,False,1972-03-14,27.6819,8.688,21601
2,KPop Demon Hunters,en,False,2025-06-20,220.7591,8.626,496
3,The Godfather Part II,en,False,1974-12-20,14.4935,8.571,13045
4,Schindler's List,en,False,1993-12-15,12.8592,8.565,16523
5,12 Angry Men,en,False,1957-04-10,14.1275,8.55,9233
6,Spirited Away,ja,False,2001-07-20,15.6941,8.536,17264
7,The Dark Knight,en,False,2008-07-16,23.6649,8.521,34042
8,Dilwale Dulhania Le Jayenge,hi,False,1995-10-20,6.9544,8.518,4494
9,The Green Mile,en,False,1999-12-10,14.9689,8.505,18190
10,Parasite,ko,False,2019-05-30,24.3822,8.499,19216
11,Pulp Fiction,en,False,1994-09-10,18.3223,8.489,28829
12,The Lord of the Rings: The Return of the King,en,False,2003-12-17,19.834,8.487,25224
13,Your Name.,ja,False,2016-08-26,14.0475,8.5,11845
14,Forrest Gump,en,False,1994-06-23,21.6483,8.5,28359
15,"The Good, the Bad and the Ugly",it,False,1966-12-22,20.5707,8.464,9065
16,Interstellar,en,False,2014-11-05,32.9639,8.456,37383
17,GoodFellas,en,False,1990-09-12,12.919,8.455,13467
18,Seven Samurai,ja,False,1954-04-26,6.9536,8.455,3927
19,Grave of the Fireflies,ja,False,1988-04-16,0.0091,8.45,5946
20,Life Is Beautiful,it,False,1997-12-20,7.4994,8.445,13428
21,Cinema Paradiso,it,False,1988-11-17,6.2885,8.437,4552
22,Fight Club,en,False,1999-10-15,19.4885,8.437,30439
23,City of God,pt,False,2002-08-30,8.5038,8.431,7705
24,Impossible Things,es,False,2021-06-17,0.89,8.43,410
25,A Dog's Will,pt,False,2000-09-15,1.6924,8.43,1166
26,Harakiri,ja,False,1962-09-15,3.6115,8.4,1094
27,The Lord of the Rings: The Fellowship of the Ring,en,False,2001-12-18,26.7223,8.423,26120
28,Psycho,en,False,1960-06-22,8.7845,8.421,10421
29,One Flew Over the Cuckoo's Nest,en,False,1975-11-19,8.5498,8.414,10831
30,Once Upon a Time in America,en,False,1984-05-23,9.1911,8.411,5651
31,Gabriel's Inferno,en,False,2020-05-29,2.4879,8.411,2426
32,The Lord of the Rings: The Two Towers,en,False,2002-12-18,17.6132,8.407,22700
33,Spider-Man: Into the Spider-Verse,en,False,2018-12-06,15.1042,8.399,16241
34,Howl's Moving Castle,ja,False,2004-09-09,9.9673,8.4,10384
35,The Empire Strikes Back,en,False,1980-05-20,6.2728,8.396,17509
36,Hope,ko,False,2013-10-02,4.5719,8.4,789
